year,season,silagetype,farmcode,samplingweek,samplingperiod,markerin,markerout
2,winter,B,19,2,3,0,4.171191693
2,winter,B,19,3,3,0,0
2,winter,B,29,1,3,58.97884078,193.3782991
2,winter,B,29,2,3,63.68845519,121.8262824
2,winter,B,29,3,3,61.39168665,159.1886587
2,summer,A,7,1,4,0,0
2,summer,A,7,2,4,0,0
2,summer,A,7,3,4,0,16.78083823
2,summer,A,9,1,4,0,0
2,summer,A,9,2,4,0,0
2,summer,A,9,3,4,0,0
2,summer,A,10,1,4,0.276978278,20.63214133
2,summer,A,10,2,4,0.06,19.05614589
2,summer,A,10,3,4,0.06,19.62145537
2,summer,A,14,1,4,3.005414518,32.75084363
2,summer,A,14,2,4,2.307210275,25.61731466
2,summer,A,14,3,4,2.832810052,29.00840735
2,summer,A,15,1,4,0,15.75496123
2,summer,A,15,2,4,0,22.23651826
2,summer,A,15,3,4,0,13.48125791
2,summer,A,21,1,4,10.3789082,14.70474702
2,summer,A,21,2,4,10.71877142,12.91297678
2,summer,A,21,3,4,11.61812031,22.43308066
2,summer,A,22,1,4,0.31,15.40760925
2,summer,A,22,2,4,0.776019891,12.39435861
2,summer,A,22,3,4,0.482551888,21.82116667
2,summer,A,25,1,4,6.40820874,17.15711477
2,summer,A,25,2,4,5.470338806,21.19205775
2,summer,A,25,3,4,5.630466205,24.12465933
2,summer,A,27,1,4,0,0
2,summer,A,27,2,4,0,0
2,summer,A,27,3,4,0,0
2,summer,B,2,1,4,7.033427389,23.14744334
2,summer,B,2,2,4,6.53310702,25.88438109
2,summer,B,2,3,4,7.934679789,37.14748755
2,summer,B,3,1,4,21.10603012,433.5216653
2,summer,B,3,2,4,21.1767051,529.9126092
2,summer,B,3,3,4,22.22285599,620.5030254
2,summer,B,5,1,4,3.695586049,110.5084426
2,summer,B,5,2,4,2.73434065,75.65854672
2,summer,B,5,3,4,3.690970018,55.6196806
2,summer,B,6,1,4,40.56889446,395.2526739
2,summer,B,6,2,4,37.71779583,540.8297406
2,summer,B,6,3,4,38.73104951,487.8618917
2,summer,B,12,1,4,10.81424905,238.1826371
2,summer,B,12,2,4,10.46003368,193.6093177
2,summer,B,12,3,4,11.6429783,255.2309265
2,summer,B,17,1,4,5.293009873,46.01234159
2,summer,B,17,2,4,4.630758561,38.3886279
2,summer,B,17,3,4,4.863617045,37.44857221
2,summer,B,19,1,4,0,0
2,summer,B,19,2,4,0,0
