diet,sex,subject,day,weight
ds,female,61,7,50
ds,female,62,7,49.2
ds,female,63,7,15.3
ds,female,65,7,35.3
ds,male,66,7,12.4
ds,female,68,7,52
ds,male,69,7,45.7
ds,female,70,7,53.4
ds,female,71,7,55.3
ds,male,72,7,15.4
ds,male,73,7,34.2
ds,female,74,7,48.6
ds,male,75,7,29.7
ds,female,76,7,44.4
ds,male,77,7,35.4
ds,male,78,7,48.9
ds,male,79,7,47.8
ds,female,80,7,46.6
ds,male,81,7,47.3
ds,female,82,7,66.6
ds,female,83,7,23.8
ds,female,84,7,53.1
ds,male,85,7,44.6
ds,male,86,7,32
ds,female,87,7,18.1
ds,male,88,7,18.9
ds,male,89,7,43.4
ds,male,90,7,43.1
ds,female,91,7,34.3
ds,male,93,7,45.6
ds,male,94,7,43.7
ds,female,95,7,60.1
ds,male,96,7,21.3
ds,female,99,7,72.2
ds,female,100,7,27.4
sf,male,101,7,17.3
sf,male,107,7,26.3
sf,female,112,7,17.3
sf,female,113,7,23.8
sf,male,115,7,5.1
sf,male,120,7,17.5
sf,female,123,7,19.6
sf,male,135,7,16.5
sf,female,139,7,22.2
sf,male,150,7,19
ag,male,1,8,27.9
ag,female,2,8,23.8
ag,female,7,8,26.5
ag,male,8,8,16.2
ag,female,9,8,27.3
ag,female,12,8,32.3
ag,male,14,8,18.8
ag,female,15,8,23.6
ag,female,16,8,30.6
ag,male,18,8,30
ag,female,19,8,34.5
ag,female,20,8,36.8
ag,male,23,8,27.8
ag,female,24,8,28.2
ag,male,26,8,22.9
ag,male,28,8,29.5
ag,female,30,8,28
ag,female,31,8,26.2
ag,female,36,8,25.4
ag,male,39,8,20.3
ag,male,40,8,25.4
ag,female,41,8,15.5
ag,male,42,8,25.7
ag,female,48,8,28.3
ds,female,51,8,69.7
ds,female,52,8,54.3
ds,female,53,8,77.6
ds,female,54,8,64.9
ds,male,56,8,51
ds,male,57,8,36.6
ds,female,58,8,62.3
ds,female,59,8,47
ds,female,60,8,30.1
ds,female,61,8,70
ds,female,62,8,63.4
ds,female,63,8,39
ds,female,65,8,53.8
ds,male,66,8,23.4
ds,female,68,8,66.4
ds,male,69,8,54.3
ds,female,70,8,73.3
ds,female,71,8,72.9
ds,male,72,8,34.4
ds,male,73,8,41.5
ds,female,74,8,65
ds,male,75,8,65.9
ds,female,76,8,63.9
ds,male,77,8,53.8
ds,male,78,8,41
ds,male,79,8,50.6
ds,female,80,8,73.9
ds,male,81,8,57.1
ds,female,82,8,76.5
ds,female,83,8,22.3
ds,female,84,8,70.2
ds,male,85,8,50.5
ds,male,86,8,47.8
ds,female,87,8,20
ds,male,88,8,35.7
ds,male,89,8,52.5
ds,male,90,8,51.4
ds,female,91,8,56.8
ds,male,93,8,56.4
ds,male,94,8,48.3
ds,female,95,8,67
ds,male,96,8,42
ds,female,99,8,67.1
ds,female,100,8,59.7
sf,male,101,8,24.5
sf,male,107,8,31.3
sf,female,112,8,24.9
sf,female,113,8,34.4
sf,male,115,8,7
sf,male,120,8,26.5
sf,female,123,8,20.6
sf,male,135,8,31.7
sf,female,139,8,23.2
sf,male,150,8,35.3
ag,male,1,9,33.4
ag,female,2,9,37
ag,female,7,9,37.5
ag,male,8,9,20.2
ag,female,9,9,38
ag,female,12,9,36.8
ag,male,14,9,35.9
ag,female,15,9,37.1
ag,female,16,9,29.6
ag,male,18,9,48.5
ag,female,19,9,47.8
ag,female,20,9,33.1
ag,male,23,9,41
ag,female,24,9,33.9
ag,male,26,9,29.7
ag,male,28,9,41.5
ag,female,30,9,39.2
ag,female,31,9,33.9
ag,female,36,9,26.3
ag,male,39,9,25.8
ag,male,40,9,30.2
ag,female,41,9,16.9
ag,male,42,9,35.6
ag,female,48,9,44.7
ds,female,51,9,80.5
ds,female,52,9,60.6
ds,female,53,9,76
ds,female,54,9,70
ds,male,56,9,55.3
ds,male,57,9,54
ds,female,58,9,72.1
ds,female,59,9,56.8
ds,female,60,9,47.4
ds,female,61,9,68.4
ds,female,62,9,73.4
ds,female,63,9,46.2
ds,female,65,9,61.3
ds,male,66,9,38.6
ds,female,68,9,66.3
ds,male,69,9,52.9
ds,female,70,9,77.1
ds,female,71,9,72.1
ds,male,72,9,44.4
ds,male,73,9,51
ds,female,74,9,68
ds,male,75,9,50.2
ds,female,76,9,61.8
ds,male,77,9,56
ds,male,78,9,47.5
ds,male,79,9,50.2
ds,female,80,9,81.5
ds,male,81,9,55.5
ds,female,82,9,80
ds,female,83,9,44.8
ds,female,84,9,68.7
ds,male,85,9,57.7
ds,male,86,9,50.5
ds,female,87,9,45.2
ds,male,88,9,49.1
ds,male,89,9,54.2
ds,male,90,9,55
ds,female,91,9,56.4
ds,male,93,9,56.1
ds,male,94,9,47.8
ds,female,95,9,75.7
ds,male,96,9,55.4
ds,female,99,9,65.8
ds,female,100,9,73.4
sf,male,101,9,37.3
sf,male,107,9,44.8
sf,female,112,9,22.7
sf,female,113,9,38.8
sf,male,115,9,10.3
sf,male,120,9,39.6
sf,female,123,9,24.6
sf,male,135,9,25.1
sf,female,139,9,31.8
sf,male,150,9,38.9
ag,male,1,10,35.4
ag,female,2,10,40.7
ag,female,7,10,47.2
ag,male,8,10,24.5
ag,female,9,10,50.6
ag,female,12,10,44.8
ag,male,14,10,45.6
ag,female,15,10,49.7
ag,female,16,10,36.4
ag,male,18,10,47.6
ag,female,19,10,59.4
ag,female,20,10,36.6
ag,male,23,10,43.3
ag,female,24,10,50.4
ag,male,26,10,42.5
ag,male,28,10,41.3
ag,female,30,10,48
ag,female,31,10,46.8
ag,female,36,10,31.3
ag,male,39,10,37.3
ag,male,40,10,39.5
ag,female,41,10,26.1
ag,male,42,10,40.8
ag,female,48,10,58.9
ds,female,51,10,57.2
ds,female,52,10,59.3
ds,female,53,10,72
ds,female,54,10,69.2
ds,male,56,10,54.1
ds,male,57,10,50.2
ds,female,58,10,70.5
ds,female,59,10,55.9
ds,female,60,10,56.8
ds,female,61,10,67.8
ds,female,62,10,71.5
ds,female,63,10,46.4
ds,female,65,10,59.9
ds,male,66,10,45
ds,female,68,10,62.4
ds,male,69,10,48.4
ds,female,70,10,75.5
ds,female,71,10,68
ds,male,72,10,41.8
ds,male,73,10,48.5
ds,female,74,10,67
ds,male,75,10,48.5
ds,female,76,10,59.5
ds,male,77,10,56.1
ds,male,78,10,44.1
ds,male,79,10,49.2
ds,female,80,10,77.3
ds,male,81,10,53.1
ds,female,82,10,75
ds,female,83,10,61.6
ds,female,84,10,65.5
ds,male,85,10,57.2
ds,male,86,10,52.1
ds,female,87,10,59.1
ds,male,88,10,47.6
