month,day,IEDemand
4,12,3267.8134375
4,13,3273.14625
4,14,3150.370625
4,15,2957.9651041666666
4,16,2782.49125
4,17,2812.4635416666665
4,18,3148.4410416666665
4,19,3199.5710416666666
4,20,3194.5967708333333
4,21,3161.7091666666665
4,22,2905.975104166667
4,23,2800.2225
4,24,3150.219270833333
4,25,3236.5928125
4,26,3259.627916666667
4,27,3274.30875
4,28,3196.4846875
4,29,2932.4572916666666
4,30,2802.3360416666665
5,1,2791.174375
5,2,3087.694479166667
5,3,3089.1754166666665
5,4,3098.5826041666664
5,5,3085.0480208333333
5,6,2845.7991666666667
5,7,2700.3283333333334
5,8,2989.6579166666666
5,9,3059.1080208333333
5,10,3073.434583333333
5,11,3076.66125
5,12,3098.5707291666663
5,13,2773.5934375
5,14,2628.884270833333
5,15,3044.4476041666667
5,16,3014.237291666667
5,17,3004.1070833333333
5,18,3045.4603125
5,19,3040.3651041666667
5,20,2774.3734375
5,21,2658.2654166666666
5,22,2988.017604166667
5,23,3095.2765625
5,24,3103.1654166666667
5,25,3075.6878125000003
5,26,3066.3311458333333
5,27,2810.1879166666668
5,28,2645.8177083333335
5,29,3034.3696875
5,30,3048.5056250000002
5,31,3049.1351041666667
6,1,3074.085625
6,2,2989.140104166667
6,3,2711.134270833333
6,4,2599.3039583333334
6,5,2673.3760416666664
6,6,2999.4175
6,7,3077.163125
6,8,3095.866666666667
6,9,3025.554166666667
6,10,2817.3336458333333
6,11,2686.2575
6,12,3013.8788541666668
6,13,3048.159166666667
6,14,3034.0773958333334
6,15,3049.9327083333333
6,16,3039.6648958333335
6,17,2767.9280208333334
6,18,2626.8136458333333
6,19,3022.42875
6,20,3051.5339583333334
6,21,3125.7720833333333
6,22,3053.50625
6,23,3019.9044791666665
6,24,2741.8145833333333
6,25,2593.342291666667
6,26,2989.8264583333334
6,27,3067.0625
6,28,3083.428854166667
6,29,3051.4873958333333
6,30,3024.7090625
7,1,2737.800625
7,2,2596.428229166667
7,3,2993.7166666666667
7,4,3044.4666666666667
7,5,3067.2373958333333
7,6,3083.8309375
7,7,3052.498958333333
7,8,2785.4673958333333
7,9,2616.840833333333
7,10,2987.4940625
7,11,3051.5499999999997
7,12,3030.3996875000003
7,13,3024.6008333333334
7,14,2981.3830208333334
7,15,2796.47
7,16,2617.1094791666665
7,17,2968.4889583333334
7,18,3017.596354166667
7,19,3049.8144791666664
7,20,2983.3723958333335
7,21,2958.0292708333336
7,22,2714.2897916666666
7,23,2604.04125
7,24,2948.4515625
7,25,3007.4701041666667
7,26,3002.1925
7,27,2970.7846875
7,28,2912.725104166667
7,29,2670.997083333333
7,30,2550.9142708333334
7,31,2860.293125
8,1,2952.5163541666666
8,2,2981.91
8,3,2966.4708333333333
8,4,2934.354375
8,5,2679.285
8,6,2540.0011458333333
8,7,2573.6527083333335
8,8,2896.438958333333
8,9,2936.2735416666665
8,10,2978.2753125
8,11,3005.8414583333333
8,12,2738.4136458333332
8,13,2624.063541666667
8,14,3008.6273958333336
8,15,3041.7509375
8,16,3091.4276041666667
8,17,3054.4139583333335
8,18,3005.1717708333335
8,19,2762.0632291666666
8,20,2682.104375
8,21,3079.7269791666668
8,22,3155.4340625
8,23,3088.799791666667
8,24,3108.384375
8,25,3080.4917708333332
8,26,2841.9708333333333
8,27,2720.0255208333333
8,28,3088.0426041666665
8,29,3091.8882291666664
8,30,3105.5368750000002
8,31,3073.673854166667
9,1,3028.6307291666667
9,2,2842.0259375
9,3,2759.4942708333333
9,4,3076.8740625
9,5,3098.504375
9,6,3111.1996875
9,7,3156.2728125
9,8,3088.3913541666666
9,9,2870.2361458333335
9,10,2772.8957291666666
9,11,3090.7176041666667
9,12,3175.8482291666664
9,13,3135.5812499999997
9,14,3176.26875
9,15,3125.8169791666664
9,16,2926.5928125
9,17,2782.8334375
9,18,3112.40875
