"Statistic","Quarter","County","UNIT","VALUE"
"New House Registrations","1995Q2","Mayo","Number","81"
"New House Registrations","1995Q2","Roscommon","Number","11"
"New House Registrations","1995Q2","Sligo","Number","109"
"New House Registrations","1995Q2","Cavan","Number","26"
"New House Registrations","1995Q2","Donegal","Number","67"
"New House Registrations","1995Q2","Monaghan","Number","20"
"New House Registrations","1995Q3","All Counties","Number","4323"
"New House Registrations","1995Q3","Carlow","Number","51"
"New House Registrations","1995Q3","Dublin","Number","1530"
"New House Registrations","1995Q3","Kildare","Number","283"
"New House Registrations","1995Q3","Kilkenny","Number","65"
"New House Registrations","1995Q3","Laois","Number","47"
"New House Registrations","1995Q3","Longford","Number","3"
"New House Registrations","1995Q3","Louth","Number","142"
"New House Registrations","1995Q3","Meath","Number","289"
"New House Registrations","1995Q3","Offaly","Number","56"
"New House Registrations","1995Q3","Westmeath","Number","88"
"New House Registrations","1995Q3","Wexford","Number","97"
"New House Registrations","1995Q3","Wicklow","Number","168"
"New House Registrations","1995Q3","Clare","Number","119"
"New House Registrations","1995Q3","Cork","Number","483"
"New House Registrations","1995Q3","Kerry","Number","119"
"New House Registrations","1995Q3","Limerick","Number","110"
"New House Registrations","1995Q3","Tipperary","Number","131"
"New House Registrations","1995Q3","Waterford","Number","67"
"New House Registrations","1995Q3","Galway","Number","212"
"New House Registrations","1995Q3","Leitrim","Number","6"
"New House Registrations","1995Q3","Mayo","Number","96"
"New House Registrations","1995Q3","Roscommon","Number","5"
"New House Registrations","1995Q3","Sligo","Number","66"
"New House Registrations","1995Q3","Cavan","Number","16"
"New House Registrations","1995Q3","Donegal","Number","51"
"New House Registrations","1995Q3","Monaghan","Number","23"
"New House Registrations","1995Q4","All Counties","Number","4228"
"New House Registrations","1995Q4","Carlow","Number","31"
"New House Registrations","1995Q4","Dublin","Number","1503"
"New House Registrations","1995Q4","Kildare","Number","326"
"New House Registrations","1995Q4","Kilkenny","Number","62"
"New House Registrations","1995Q4","Laois","Number","74"
"New House Registrations","1995Q4","Longford","Number","1"
"New House Registrations","1995Q4","Louth","Number","186"
"New House Registrations","1995Q4","Meath","Number","166"
"New House Registrations","1995Q4","Offaly","Number","16"
"New House Registrations","1995Q4","Westmeath","Number","72"
"New House Registrations","1995Q4","Wexford","Number","85"
"New House Registrations","1995Q4","Wicklow","Number","165"
"New House Registrations","1995Q4","Clare","Number","104"
"New House Registrations","1995Q4","Cork","Number","390"
"New House Registrations","1995Q4","Kerry","Number","114"
"New House Registrations","1995Q4","Limerick","Number","137"
"New House Registrations","1995Q4","Tipperary","Number","110"
"New House Registrations","1995Q4","Waterford","Number","189"
"New House Registrations","1995Q4","Galway","Number","269"
"New House Registrations","1995Q4","Leitrim","Number","1"
"New House Registrations","1995Q4","Mayo","Number","90"
"New House Registrations","1995Q4","Roscommon","Number","18"
"New House Registrations","1995Q4","Sligo","Number","17"
"New House Registrations","1995Q4","Cavan","Number","19"
"New House Registrations","1995Q4","Donegal","Number","76"
"New House Registrations","1995Q4","Monaghan","Number","7"
"New House Registrations","1996Q1","All Counties","Number","5598"
"New House Registrations","1996Q1","Carlow","Number","65"
"New House Registrations","1996Q1","Dublin","Number","2053"
"New House Registrations","1996Q1","Kildare","Number","387"
"New House Registrations","1996Q1","Kilkenny","Number","81"
"New House Registrations","1996Q1","Laois","Number","34"
"New House Registrations","1996Q1","Longford","Number","2"
"New House Registrations","1996Q1","Louth","Number","200"
"New House Registrations","1996Q1","Meath","Number","222"
"New House Registrations","1996Q1","Offaly","Number","39"
"New House Registrations","1996Q1","Westmeath","Number","133"
"New House Registrations","1996Q1","Wexford","Number","146"
"New House Registrations","1996Q1","Wicklow","Number","147"
"New House Registrations","1996Q1","Clare","Number","132"
"New House Registrations","1996Q1","Cork","Number","661"
"New House Registrations","1996Q1","Kerry","Number","115"
"New House Registrations","1996Q1","Limerick","Number","279"
"New House Registrations","1996Q1","Tipperary","Number","85"
"New House Registrations","1996Q1","Waterford","Number","132"
"New House Registrations","1996Q1","Galway","Number","296"
"New House Registrations","1996Q1","Leitrim","Number","12"
"New House Registrations","1996Q1","Mayo","Number","148"
"New House Registrations","1996Q1","Roscommon","Number","15"
"New House Registrations","1996Q1","Sligo","Number","55"
"New House Registrations","1996Q1","Cavan","Number","26"
"New House Registrations","1996Q1","Donegal","Number","91"
"New House Registrations","1996Q1","Monaghan","Number","42"
"New House Registrations","1996Q2","All Counties","Number","7196"
"New House Registrations","1996Q2","Carlow","Number","111"
"New House Registrations","1996Q2","Dublin","Number","2997"
"New House Registrations","1996Q2","Kildare","Number","553"
"New House Registrations","1996Q2","Kilkenny","Number","109"
"New House Registrations","1996Q2","Laois","Number","57"
"New House Registrations","1996Q2","Longford","Number","1"
"New House Registrations","1996Q2","Louth","Number","228"
"New House Registrations","1996Q2","Meath","Number","311"
"New House Registrations","1996Q2","Offaly","Number","57"
"New House Registrations","1996Q2","Westmeath","Number","78"
"New House Registrations","1996Q2","Wexford","Number","59"
"New House Registrations","1996Q2","Wicklow","Number","210"
"New House Registrations","1996Q2","Clare","Number","176"
"New House Registrations","1996Q2","Cork","Number","676"
"New House Registrations","1996Q2","Kerry","Number","179"
"New House Registrations","1996Q2","Limerick","Number","304"
"New House Registrations","1996Q2","Tipperary","Number","152"
"New House Registrations","1996Q2","Waterford","Number","196"
"New House Registrations","1996Q2","Galway","Number","431"
"New House Registrations","1996Q2","Leitrim","Number","8"
"New House Registrations","1996Q2","Mayo","Number","76"
"New House Registrations","1996Q2","Roscommon","Number","43"
"New House Registrations","1996Q2","Sligo","Number","46"
"New House Registrations","1996Q2","Cavan","Number","61"
"New House Registrations","1996Q2","Donegal","Number","54"
"New House Registrations","1996Q2","Monaghan","Number","23"
"New House Registrations","1996Q3","All Counties","Number","5533"
"New House Registrations","1996Q3","Carlow","Number","79"
"New House Registrations","1996Q3","Dublin","Number","1615"
"New House Registrations","1996Q3","Kildare","Number","319"
"New House Registrations","1996Q3","Kilkenny","Number","62"
"New House Registrations","1996Q3","Laois","Number","54"
"New House Registrations","1996Q3","Longford","Number","3"
"New House Registrations","1996Q3","Louth","Number","154"
"New House Registrations","1996Q3","Meath","Number","203"
"New House Registrations","1996Q3","Offaly","Number","34"
"New House Registrations","1996Q3","Westmeath","Number","68"
"New House Registrations","1996Q3","Wexford","Number","166"
"New House Registrations","1996Q3","Wicklow","Number","228"
"New House Registrations","1996Q3","Clare","Number","231"
"New House Registrations","1996Q3","Cork","Number","857"
"New House Registrations","1996Q3","Kerry","Number","165"
"New House Registrations","1996Q3","Limerick","Number","338"
"New House Registrations","1996Q3","Tipperary","Number","112"
"New House Registrations","1996Q3","Waterford","Number","151"
"New House Registrations","1996Q3","Galway","Number","268"
"New House Registrations","1996Q3","Leitrim","Number","2"
"New House Registrations","1996Q3","Mayo","Number","167"
"New House Registrations","1996Q3","Roscommon","Number","17"
"New House Registrations","1996Q3","Sligo","Number","49"
"New House Registrations","1996Q3","Cavan","Number","49"
"New House Registrations","1996Q3","Donegal","Number","126"
"New House Registrations","1996Q3","Monaghan","Number","16"
"New House Registrations","1996Q4","All Counties","Number","5442"
"New House Registrations","1996Q4","Carlow","Number","70"
"New House Registrations","1996Q4","Dublin","Number","1926"
"New House Registrations","1996Q4","Kildare","Number","251"
"New House Registrations","1996Q4","Kilkenny","Number","135"
"New House Registrations","1996Q4","Laois","Number","48"
"New House Registrations","1996Q4","Longford","Number","2"
"New House Registrations","1996Q4","Louth","Number","139"
"New House Registrations","1996Q4","Meath","Number","136"
"New House Registrations","1996Q4","Offaly","Number","37"
"New House Registrations","1996Q4","Westmeath","Number","110"
"New House Registrations","1996Q4","Wexford","Number","161"
"New House Registrations","1996Q4","Wicklow","Number","93"
"New House Registrations","1996Q4","Clare","Number","183"
"New House Registrations","1996Q4","Cork","Number","518"
"New House Registrations","1996Q4","Kerry","Number","116"
"New House Registrations","1996Q4","Limerick","Number","315"
"New House Registrations","1996Q4","Tipperary","Number","131"
"New House Registrations","1996Q4","Waterford","Number","238"
"New House Registrations","1996Q4","Galway","Number","449"
"New House Registrations","1996Q4","Leitrim","Number","8"
"New House Registrations","1996Q4","Mayo","Number","57"
"New House Registrations","1996Q4","Roscommon","Number","25"
"New House Registrations","1996Q4","Sligo","Number","118"
"New House Registrations","1996Q4","Cavan","Number","47"
"New House Registrations","1996Q4","Donegal","Number","118"
"New House Registrations","1996Q4","Monaghan","Number","11"
"New House Registrations","1997Q1","All Counties","Number","7385"
"New House Registrations","1997Q1","Carlow","Number","127"
"New House Registrations","1997Q1","Dublin","Number","2668"
"New House Registrations","1997Q1","Kildare","Number","404"
"New House Registrations","1997Q1","Kilkenny","Number","130"
"New House Registrations","1997Q1","Laois","Number","57"
"New House Registrations","1997Q1","Longford","Number","7"
"New House Registrations","1997Q1","Louth","Number","293"
