"Statistic","Quarter","County","UNIT","VALUE"
"New House Registrations","2004Q2","All Counties","Number","17965"
"New House Registrations","2004Q2","Carlow","Number","292"
"New House Registrations","2004Q2","Dublin","Number","5349"
"New House Registrations","2004Q2","Kildare","Number","846"
"New House Registrations","2004Q2","Kilkenny","Number","370"
"New House Registrations","2004Q2","Laois","Number","719"
"New House Registrations","2004Q2","Longford","Number","113"
"New House Registrations","2004Q2","Louth","Number","426"
"New House Registrations","2004Q2","Meath","Number","728"
"New House Registrations","2004Q2","Offaly","Number","455"
"New House Registrations","2004Q2","Westmeath","Number","309"
"New House Registrations","2004Q2","Wexford","Number","527"
"New House Registrations","2004Q2","Wicklow","Number","235"
"New House Registrations","2004Q2","Clare","Number","546"
"New House Registrations","2004Q2","Cork","Number","2425"
"New House Registrations","2004Q2","Kerry","Number","424"
"New House Registrations","2004Q2","Limerick","Number","536"
"New House Registrations","2004Q2","Tipperary","Number","613"
"New House Registrations","2004Q2","Waterford","Number","531"
"New House Registrations","2004Q2","Galway","Number","849"
"New House Registrations","2004Q2","Leitrim","Number","227"
"New House Registrations","2004Q2","Mayo","Number","424"
"New House Registrations","2004Q2","Roscommon","Number","287"
"New House Registrations","2004Q2","Sligo","Number","358"
"New House Registrations","2004Q2","Cavan","Number","207"
"New House Registrations","2004Q2","Donegal","Number","148"
"New House Registrations","2004Q2","Monaghan","Number","21"
"New House Registrations","2004Q3","All Counties","Number","13798"
"New House Registrations","2004Q3","Carlow","Number","108"
"New House Registrations","2004Q3","Dublin","Number","4324"
"New House Registrations","2004Q3","Kildare","Number","865"
"New House Registrations","2004Q3","Kilkenny","Number","261"
"New House Registrations","2004Q3","Laois","Number","199"
"New House Registrations","2004Q3","Longford","Number","229"
"New House Registrations","2004Q3","Louth","Number","305"
"New House Registrations","2004Q3","Meath","Number","711"
"New House Registrations","2004Q3","Offaly","Number","239"
"New House Registrations","2004Q3","Westmeath","Number","333"
"New House Registrations","2004Q3","Wexford","Number","609"
"New House Registrations","2004Q3","Wicklow","Number","513"
"New House Registrations","2004Q3","Clare","Number","268"
"New House Registrations","2004Q3","Cork","Number","1128"
"New House Registrations","2004Q3","Kerry","Number","521"
"New House Registrations","2004Q3","Limerick","Number","364"
"New House Registrations","2004Q3","Tipperary","Number","467"
"New House Registrations","2004Q3","Waterford","Number","363"
"New House Registrations","2004Q3","Galway","Number","568"
"New House Registrations","2004Q3","Leitrim","Number","178"
"New House Registrations","2004Q3","Mayo","Number","254"
"New House Registrations","2004Q3","Roscommon","Number","181"
"New House Registrations","2004Q3","Sligo","Number","295"
"New House Registrations","2004Q3","Cavan","Number","267"
"New House Registrations","2004Q3","Donegal","Number","200"
"New House Registrations","2004Q3","Monaghan","Number","48"
"New House Registrations","2004Q4","All Counties","Number","13628"
"New House Registrations","2004Q4","Carlow","Number","199"
"New House Registrations","2004Q4","Dublin","Number","4639"
"New House Registrations","2004Q4","Kildare","Number","698"
"New House Registrations","2004Q4","Kilkenny","Number","282"
"New House Registrations","2004Q4","Laois","Number","414"
"New House Registrations","2004Q4","Longford","Number","71"
"New House Registrations","2004Q4","Louth","Number","296"
"New House Registrations","2004Q4","Meath","Number","851"
"New House Registrations","2004Q4","Offaly","Number","199"
"New House Registrations","2004Q4","Westmeath","Number","209"
"New House Registrations","2004Q4","Wexford","Number","389"
"New House Registrations","2004Q4","Wicklow","Number","261"
"New House Registrations","2004Q4","Clare","Number","365"
"New House Registrations","2004Q4","Cork","Number","1181"
"New House Registrations","2004Q4","Kerry","Number","423"
"New House Registrations","2004Q4","Limerick","Number","394"
"New House Registrations","2004Q4","Tipperary","Number","363"
"New House Registrations","2004Q4","Waterford","Number","384"
"New House Registrations","2004Q4","Galway","Number","541"
"New House Registrations","2004Q4","Leitrim","Number","133"
"New House Registrations","2004Q4","Mayo","Number","190"
"New House Registrations","2004Q4","Roscommon","Number","239"
"New House Registrations","2004Q4","Sligo","Number","135"
"New House Registrations","2004Q4","Cavan","Number","393"
"New House Registrations","2004Q4","Donegal","Number","300"
"New House Registrations","2004Q4","Monaghan","Number","79"
"New House Registrations","2005Q1","All Counties","Number","16037"
"New House Registrations","2005Q1","Carlow","Number","282"
"New House Registrations","2005Q1","Dublin","Number","4525"
"New House Registrations","2005Q1","Kildare","Number","805"
"New House Registrations","2005Q1","Kilkenny","Number","588"
"New House Registrations","2005Q1","Laois","Number","401"
"New House Registrations","2005Q1","Longford","Number","118"
"New House Registrations","2005Q1","Louth","Number","461"
"New House Registrations","2005Q1","Meath","Number","1183"
"New House Registrations","2005Q1","Offaly","Number","192"
"New House Registrations","2005Q1","Westmeath","Number","316"
"New House Registrations","2005Q1","Wexford","Number","527"
"New House Registrations","2005Q1","Wicklow","Number","419"
"New House Registrations","2005Q1","Clare","Number","494"
"New House Registrations","2005Q1","Cork","Number","1916"
"New House Registrations","2005Q1","Kerry","Number","352"
"New House Registrations","2005Q1","Limerick","Number","414"
"New House Registrations","2005Q1","Tipperary","Number","521"
"New House Registrations","2005Q1","Waterford","Number","347"
"New House Registrations","2005Q1","Galway","Number","542"
"New House Registrations","2005Q1","Leitrim","Number","204"
"New House Registrations","2005Q1","Mayo","Number","296"
"New House Registrations","2005Q1","Roscommon","Number","358"
"New House Registrations","2005Q1","Sligo","Number","290"
"New House Registrations","2005Q1","Cavan","Number","218"
"New House Registrations","2005Q1","Donegal","Number","224"
"New House Registrations","2005Q1","Monaghan","Number","44"
"New House Registrations","2005Q2","All Counties","Number","16241"
"New House Registrations","2005Q2","Carlow","Number","292"
"New House Registrations","2005Q2","Dublin","Number","3871"
"New House Registrations","2005Q2","Kildare","Number","1297"
"New House Registrations","2005Q2","Kilkenny","Number","488"
"New House Registrations","2005Q2","Laois","Number","644"
"New House Registrations","2005Q2","Longford","Number","155"
"New House Registrations","2005Q2","Louth","Number","337"
"New House Registrations","2005Q2","Meath","Number","852"
"New House Registrations","2005Q2","Offaly","Number","367"
"New House Registrations","2005Q2","Westmeath","Number","169"
"New House Registrations","2005Q2","Wexford","Number","624"
"New House Registrations","2005Q2","Wicklow","Number","358"
"New House Registrations","2005Q2","Clare","Number","270"
"New House Registrations","2005Q2","Cork","Number","1460"
"New House Registrations","2005Q2","Kerry","Number","552"
"New House Registrations","2005Q2","Limerick","Number","924"
"New House Registrations","2005Q2","Tipperary","Number","486"
"New House Registrations","2005Q2","Waterford","Number","604"
"New House Registrations","2005Q2","Galway","Number","544"
"New House Registrations","2005Q2","Leitrim","Number","218"
"New House Registrations","2005Q2","Mayo","Number","397"
"New House Registrations","2005Q2","Roscommon","Number","270"
"New House Registrations","2005Q2","Sligo","Number","409"
"New House Registrations","2005Q2","Cavan","Number","299"
"New House Registrations","2005Q2","Donegal","Number","230"
"New House Registrations","2005Q2","Monaghan","Number","124"
"New House Registrations","2005Q3","All Counties","Number","14953"
"New House Registrations","2005Q3","Carlow","Number","254"
"New House Registrations","2005Q3","Dublin","Number","3094"
"New House Registrations","2005Q3","Kildare","Number","963"
"New House Registrations","2005Q3","Kilkenny","Number","343"
"New House Registrations","2005Q3","Laois","Number","422"
"New House Registrations","2005Q3","Longford","Number","169"
"New House Registrations","2005Q3","Louth","Number","289"
"New House Registrations","2005Q3","Meath","Number","724"
"New House Registrations","2005Q3","Offaly","Number","197"
"New House Registrations","2005Q3","Westmeath","Number","347"
"New House Registrations","2005Q3","Wexford","Number","672"
"New House Registrations","2005Q3","Wicklow","Number","364"
"New House Registrations","2005Q3","Clare","Number","448"
"New House Registrations","2005Q3","Cork","Number","2184"
"New House Registrations","2005Q3","Kerry","Number","525"
"New House Registrations","2005Q3","Limerick","Number","429"
"New House Registrations","2005Q3","Tipperary","Number","461"
"New House Registrations","2005Q3","Waterford","Number","326"
"New House Registrations","2005Q3","Galway","Number","595"
"New House Registrations","2005Q3","Leitrim","Number","257"
"New House Registrations","2005Q3","Mayo","Number","431"
"New House Registrations","2005Q3","Roscommon","Number","488"
"New House Registrations","2005Q3","Sligo","Number","247"
"New House Registrations","2005Q3","Cavan","Number","244"
"New House Registrations","2005Q3","Donegal","Number","369"
"New House Registrations","2005Q3","Monaghan","Number","111"
"New House Registrations","2005Q4","All Counties","Number","15053"
"New House Registrations","2005Q4","Carlow","Number","110"
"New House Registrations","2005Q4","Dublin","Number","4166"
"New House Registrations","2005Q4","Kildare","Number","935"
"New House Registrations","2005Q4","Kilkenny","Number","151"
"New House Registrations","2005Q4","Laois","Number","479"
"New House Registrations","2005Q4","Longford","Number","167"
"New House Registrations","2005Q4","Louth","Number","436"
"New House Registrations","2005Q4","Meath","Number","697"
"New House Registrations","2005Q4","Offaly","Number","182"
"New House Registrations","2005Q4","Westmeath","Number","239"
"New House Registrations","2005Q4","Wexford","Number","355"
"New House Registrations","2005Q4","Wicklow","Number","295"
"New House Registrations","2005Q4","Clare","Number","325"
"New House Registrations","2005Q4","Cork","Number","2185"
"New House Registrations","2005Q4","Kerry","Number","583"
"New House Registrations","2005Q4","Limerick","Number","418"
"New House Registrations","2005Q4","Tipperary","Number","481"
"New House Registrations","2005Q4","Waterford","Number","249"
"New House Registrations","2005Q4","Galway","Number","875"
"New House Registrations","2005Q4","Leitrim","Number","137"
"New House Registrations","2005Q4","Mayo","Number","315"
"New House Registrations","2005Q4","Roscommon","Number","311"
"New House Registrations","2005Q4","Sligo","Number","267"
"New House Registrations","2005Q4","Cavan","Number","372"
"New House Registrations","2005Q4","Donegal","Number","167"
"New House Registrations","2005Q4","Monaghan","Number","156"
"New House Registrations","2006Q1","All Counties","Number","18439"
"New House Registrations","2006Q1","Carlow","Number","270"
"New House Registrations","2006Q1","Dublin","Number","5139"
"New House Registrations","2006Q1","Kildare","Number","1117"
"New House Registrations","2006Q1","Kilkenny","Number","501"
"New House Registrations","2006Q1","Laois","Number","461"
"New House Registrations","2006Q1","Longford","Number","320"
"New House Registrations","2006Q1","Louth","Number","283"
"New House Registrations","2006Q1","Meath","Number","892"
"New House Registrations","2006Q1","Offaly","Number","288"
"New House Registrations","2006Q1","Westmeath","Number","382"
"New House Registrations","2006Q1","Wexford","Number","790"
"New House Registrations","2006Q1","Wicklow","Number","283"
"New House Registrations","2006Q1","Clare","Number","539"
"New House Registrations","2006Q1","Cork","Number","1544"
"New House Registrations","2006Q1","Kerry","Number","378"
"New House Registrations","2006Q1","Limerick","Number","780"
"New House Registrations","2006Q1","Tipperary","Number","610"
"New House Registrations","2006Q1","Waterford","Number","379"
"New House Registrations","2006Q1","Galway","Number","1126"
"New House Registrations","2006Q1","Leitrim","Number","234"
"New House Registrations","2006Q1","Mayo","Number","324"
"New House Registrations","2006Q1","Roscommon","Number","266"
"New House Registrations","2006Q1","Sligo","Number","387"
"New House Registrations","2006Q1","Cavan","Number","422"
"New House Registrations","2006Q1","Donegal","Number","405"
"New House Registrations","2006Q1","Monaghan","Number","319"
"New House Registrations","2006Q2","All Counties","Number","18276"
"New House Registrations","2006Q2","Carlow","Number","169"
"New House Registrations","2006Q2","Dublin","Number","5592"
"New House Registrations","2006Q2","Kildare","Number","1003"
"New House Registrations","2006Q2","Kilkenny","Number","283"
"New House Registrations","2006Q2","Laois","Number","655"
"New House Registrations","2006Q2","Longford","Number","603"
"New House Registrations","2006Q2","Louth","Number","145"
"New House Registrations","2006Q2","Meath","Number","706"
"New House Registrations","2006Q2","Offaly","Number","403"
"New House Registrations","2006Q2","Westmeath","Number","341"
"New House Registrations","2006Q2","Wexford","Number","439"
"New House Registrations","2006Q2","Wicklow","Number","504"
"New House Registrations","2006Q2","Clare","Number","495"
"New House Registrations","2006Q2","Cork","Number","2190"
"New House Registrations","2006Q2","Kerry","Number","512"
"New House Registrations","2006Q2","Limerick","Number","370"
"New House Registrations","2006Q2","Tipperary","Number","670"
"New House Registrations","2006Q2","Waterford","Number","411"
"New House Registrations","2006Q2","Galway","Number","884"
"New House Registrations","2006Q2","Leitrim","Number","197"
"New House Registrations","2006Q2","Mayo","Number","399"
"New House Registrations","2006Q2","Roscommon","Number","276"
"New House Registrations","2006Q2","Sligo","Number","348"
"New House Registrations","2006Q2","Cavan","Number","190"
"New House Registrations","2006Q2","Donegal","Number","379"
"New House Registrations","2006Q2","Monaghan","Number","112"
"New House Registrations","2006Q3","All Counties","Number","16991"
"New House Registrations","2006Q3","Carlow","Number","273"
"New House Registrations","2006Q3","Dublin","Number","3446"
"New House Registrations","2006Q3","Kildare","Number","1061"
"New House Registrations","2006Q3","Kilkenny","Number","315"
"New House Registrations","2006Q3","Laois","Number","607"
"New House Registrations","2006Q3","Longford","Number","366"
"New House Registrations","2006Q3","Louth","Number","344"
"New House Registrations","2006Q3","Meath","Number","697"
"New House Registrations","2006Q3","Offaly","Number","98"
"New House Registrations","2006Q3","Westmeath","Number","351"
"New House Registrations","2006Q3","Wexford","Number","1039"
"New House Registrations","2006Q3","Wicklow","Number","220"
"New House Registrations","2006Q3","Clare","Number","604"
"New House Registrations","2006Q3","Cork","Number","2686"
"New House Registrations","2006Q3","Kerry","Number","348"
"New House Registrations","2006Q3","Limerick","Number","717"
"New House Registrations","2006Q3","Tipperary","Number","550"
"New House Registrations","2006Q3","Waterford","Number","337"
"New House Registrations","2006Q3","Galway","Number","826"
"New House Registrations","2006Q3","Leitrim","Number","97"
"New House Registrations","2006Q3","Mayo","Number","481"
"New House Registrations","2006Q3","Roscommon","Number","261"
"New House Registrations","2006Q3","Sligo","Number","378"
"New House Registrations","2006Q3","Cavan","Number","392"
"New House Registrations","2006Q3","Donegal","Number","328"
"New House Registrations","2006Q3","Monaghan","Number","169"
"New House Registrations","2006Q4","All Counties","Number","12943"
"New House Registrations","2006Q4","Carlow","Number","224"
"New House Registrations","2006Q4","Dublin","Number","3081"
"New House Registrations","2006Q4","Kildare","Number","578"
"New House Registrations","2006Q4","Kilkenny","Number","206"
"New House Registrations","2006Q4","Laois","Number","564"
"New House Registrations","2006Q4","Longford","Number","319"
"New House Registrations","2006Q4","Louth","Number","325"
"New House Registrations","2006Q4","Meath","Number","573"
"New House Registrations","2006Q4","Offaly","Number","206"
"New House Registrations","2006Q4","Westmeath","Number","406"
"New House Registrations","2006Q4","Wexford","Number","328"
"New House Registrations","2006Q4","Wicklow","Number","374"
"New House Registrations","2006Q4","Clare","Number","278"
"New House Registrations","2006Q4","Cork","Number","1437"
"New House Registrations","2006Q4","Kerry","Number","508"
"New House Registrations","2006Q4","Limerick","Number","696"
"New House Registrations","2006Q4","Tipperary","Number","328"
"New House Registrations","2006Q4","Waterford","Number","151"
"New House Registrations","2006Q4","Galway","Number","397"
"New House Registrations","2006Q4","Leitrim","Number","266"
"New House Registrations","2006Q4","Mayo","Number","314"
"New House Registrations","2006Q4","Roscommon","Number","298"
"New House Registrations","2006Q4","Sligo","Number","376"
"New House Registrations","2006Q4","Cavan","Number","380"
"New House Registrations","2006Q4","Donegal","Number","279"
"New House Registrations","2006Q4","Monaghan","Number","51"
"New House Registrations","2007Q1","All Counties","Number","13751"
"New House Registrations","2007Q1","Carlow","Number","418"
"New House Registrations","2007Q1","Dublin","Number","3372"
"New House Registrations","2007Q1","Kildare","Number","1134"
"New House Registrations","2007Q1","Kilkenny","Number","357"
"New House Registrations","2007Q1","Laois","Number","483"
"New House Registrations","2007Q1","Longford","Number","140"
"New House Registrations","2007Q1","Louth","Number","332"
"New House Registrations","2007Q1","Meath","Number","222"
"New House Registrations","2007Q1","Offaly","Number","220"
"New House Registrations","2007Q1","Westmeath","Number","301"
"New House Registrations","2007Q1","Wexford","Number","365"
"New House Registrations","2007Q1","Wicklow","Number","214"
"New House Registrations","2007Q1","Clare","Number","357"
"New House Registrations","2007Q1","Cork","Number","1615"
"New House Registrations","2007Q1","Kerry","Number","378"
"New House Registrations","2007Q1","Limerick","Number","577"
"New House Registrations","2007Q1","Tipperary","Number","703"
"New House Registrations","2007Q1","Waterford","Number","473"
"New House Registrations","2007Q1","Galway","Number","629"
"New House Registrations","2007Q1","Leitrim","Number","46"
"New House Registrations","2007Q1","Mayo","Number","266"
"New House Registrations","2007Q1","Roscommon","Number","144"
"New House Registrations","2007Q1","Sligo","Number","155"
"New House Registrations","2007Q1","Cavan","Number","402"
"New House Registrations","2007Q1","Donegal","Number","376"
"New House Registrations","2007Q1","Monaghan","Number","72"
"New House Registrations","2007Q2","All Counties","Number","10831"
"New House Registrations","2007Q2","Carlow","Number","211"
"New House Registrations","2007Q2","Dublin","Number","2976"
"New House Registrations","2007Q2","Kildare","Number","403"
"New House Registrations","2007Q2","Kilkenny","Number","110"
"New House Registrations","2007Q2","Laois","Number","568"
"New House Registrations","2007Q2","Longford","Number","101"
"New House Registrations","2007Q2","Louth","Number","127"
"New House Registrations","2007Q2","Meath","Number","457"
"New House Registrations","2007Q2","Offaly","Number","165"
"New House Registrations","2007Q2","Westmeath","Number","338"
"New House Registrations","2007Q2","Wexford","Number","389"
"New House Registrations","2007Q2","Wicklow","Number","221"
"New House Registrations","2007Q2","Clare","Number","268"
"New House Registrations","2007Q2","Cork","Number","1037"
"New House Registrations","2007Q2","Kerry","Number","438"
"New House Registrations","2007Q2","Limerick","Number","408"
"New House Registrations","2007Q2","Tipperary","Number","480"
"New House Registrations","2007Q2","Waterford","Number","137"
"New House Registrations","2007Q2","Galway","Number","455"
"New House Registrations","2007Q2","Leitrim","Number","86"
"New House Registrations","2007Q2","Mayo","Number","332"
"New House Registrations","2007Q2","Roscommon","Number","134"
"New House Registrations","2007Q2","Sligo","Number","376"
"New House Registrations","2007Q2","Cavan","Number","221"
"New House Registrations","2007Q2","Donegal","Number","271"
"New House Registrations","2007Q2","Monaghan","Number","122"
"New House Registrations","2007Q3","All Counties","Number","8123"
"New House Registrations","2007Q3","Carlow","Number","92"
"New House Registrations","2007Q3","Dublin","Number","1508"
"New House Registrations","2007Q3","Kildare","Number","397"
"New House Registrations","2007Q3","Kilkenny","Number","245"
"New House Registrations","2007Q3","Laois","Number","222"
"New House Registrations","2007Q3","Longford","Number","16"
"New House Registrations","2007Q3","Louth","Number","318"
"New House Registrations","2007Q3","Meath","Number","630"
"New House Registrations","2007Q3","Offaly","Number","70"
"New House Registrations","2007Q3","Westmeath","Number","176"
"New House Registrations","2007Q3","Wexford","Number","283"
"New House Registrations","2007Q3","Wicklow","Number","159"
"New House Registrations","2007Q3","Clare","Number","221"
"New House Registrations","2007Q3","Cork","Number","1147"
"New House Registrations","2007Q3","Kerry","Number","173"
"New House Registrations","2007Q3","Limerick","Number","252"
"New House Registrations","2007Q3","Tipperary","Number","571"
"New House Registrations","2007Q3","Waterford","Number","155"
"New House Registrations","2007Q3","Galway","Number","465"
"New House Registrations","2007Q3","Leitrim","Number","116"
"New House Registrations","2007Q3","Mayo","Number","316"
"New House Registrations","2007Q3","Roscommon","Number","89"
"New House Registrations","2007Q3","Sligo","Number","86"
"New House Registrations","2007Q3","Cavan","Number","156"
"New House Registrations","2007Q3","Donegal","Number","241"
"New House Registrations","2007Q3","Monaghan","Number","19"
"New House Registrations","2007Q4","All Counties","Number","5646"
"New House Registrations","2007Q4","Carlow","Number","26"
"New House Registrations","2007Q4","Dublin","Number","1462"
"New House Registrations","2007Q4","Kildare","Number","149"
"New House Registrations","2007Q4","Kilkenny","Number","15"
"New House Registrations","2007Q4","Laois","Number","276"
"New House Registrations","2007Q4","Longford","Number","22"
"New House Registrations","2007Q4","Louth","Number","132"
"New House Registrations","2007Q4","Meath","Number","346"
"New House Registrations","2007Q4","Offaly","Number","69"
"New House Registrations","2007Q4","Westmeath","Number","118"
"New House Registrations","2007Q4","Wexford","Number","130"
"New House Registrations","2007Q4","Wicklow","Number","248"
"New House Registrations","2007Q4","Clare","Number","220"
"New House Registrations","2007Q4","Cork","Number","538"
"New House Registrations","2007Q4","Kerry","Number","243"
"New House Registrations","2007Q4","Limerick","Number","198"
"New House Registrations","2007Q4","Tipperary","Number","157"
"New House Registrations","2007Q4","Waterford","Number","179"
"New House Registrations","2007Q4","Galway","Number","360"
"New House Registrations","2007Q4","Leitrim","Number","17"
"New House Registrations","2007Q4","Mayo","Number","162"
"New House Registrations","2007Q4","Roscommon","Number","74"
"New House Registrations","2007Q4","Sligo","Number","209"
"New House Registrations","2007Q4","Cavan","Number","128"
"New House Registrations","2007Q4","Donegal","Number","154"
"New House Registrations","2007Q4","Monaghan","Number","14"
"New House Registrations","2008Q1","All Counties","Number","4331"
"New House Registrations","2008Q1","Carlow","Number","56"
"New House Registrations","2008Q1","Dublin","Number","1601"
"New House Registrations","2008Q1","Kildare","Number","159"
"New House Registrations","2008Q1","Kilkenny","Number","80"
"New House Registrations","2008Q1","Laois","Number","59"
"New House Registrations","2008Q1","Longford","Number","5"
"New House Registrations","2008Q1","Louth","Number","159"
"New House Registrations","2008Q1","Meath","Number","185"
"New House Registrations","2008Q1","Offaly","Number","51"
"New House Registrations","2008Q1","Westmeath","Number","24"
"New House Registrations","2008Q1","Wexford","Number","56"
"New House Registrations","2008Q1","Wicklow","Number","15"
"New House Registrations","2008Q1","Clare","Number","98"
"New House Registrations","2008Q1","Cork","Number","481"
"New House Registrations","2008Q1","Kerry","Number","66"
"New House Registrations","2008Q1","Limerick","Number","116"
"New House Registrations","2008Q1","Tipperary","Number","206"
"New House Registrations","2008Q1","Waterford","Number","155"
"New House Registrations","2008Q1","Galway","Number","282"
"New House Registrations","2008Q1","Leitrim","Number","5"
"New House Registrations","2008Q1","Mayo","Number","89"
"New House Registrations","2008Q1","Roscommon","Number","26"
"New House Registrations","2008Q1","Sligo","Number","102"
"New House Registrations","2008Q1","Cavan","Number","106"
"New House Registrations","2008Q1","Donegal","Number","146"
"New House Registrations","2008Q1","Monaghan","Number","3"
"New House Registrations","2008Q2","All Counties","Number","4457"
"New House Registrations","2008Q2","Carlow","Number","98"
"New House Registrations","2008Q2","Dublin","Number","1446"
"New House Registrations","2008Q2","Kildare","Number","183"
"New House Registrations","2008Q2","Kilkenny","Number","49"
"New House Registrations","2008Q2","Laois","Number","131"
"New House Registrations","2008Q2","Longford","Number","0"
"New House Registrations","2008Q2","Louth","Number","105"
"New House Registrations","2008Q2","Meath","Number","218"
"New House Registrations","2008Q2","Offaly","Number","123"
"New House Registrations","2008Q2","Westmeath","Number","35"
"New House Registrations","2008Q2","Wexford","Number","151"
"New House Registrations","2008Q2","Wicklow","Number","138"
"New House Registrations","2008Q2","Clare","Number","20"
"New House Registrations","2008Q2","Cork","Number","621"
"New House Registrations","2008Q2","Kerry","Number","117"
"New House Registrations","2008Q2","Limerick","Number","154"
"New House Registrations","2008Q2","Tipperary","Number","140"
"New House Registrations","2008Q2","Waterford","Number","61"
"New House Registrations","2008Q2","Galway","Number","277"
"New House Registrations","2008Q2","Leitrim","Number","17"
"New House Registrations","2008Q2","Mayo","Number","76"
"New House Registrations","2008Q2","Roscommon","Number","22"
"New House Registrations","2008Q2","Sligo","Number","33"
"New House Registrations","2008Q2","Cavan","Number","31"
"New House Registrations","2008Q2","Donegal","Number","171"
"New House Registrations","2008Q2","Monaghan","Number","40"
"New House Registrations","2008Q3","All Counties","Number","2271"
"New House Registrations","2008Q3","Carlow","Number","70"
"New House Registrations","2008Q3","Dublin","Number","932"
"New House Registrations","2008Q3","Kildare","Number","48"
"New House Registrations","2008Q3","Kilkenny","Number","25"
"New House Registrations","2008Q3","Laois","Number","21"
"New House Registrations","2008Q3","Longford","Number","12"
"New House Registrations","2008Q3","Louth","Number","49"
"New House Registrations","2008Q3","Meath","Number","56"
"New House Registrations","2008Q3","Offaly","Number","6"
"New House Registrations","2008Q3","Westmeath","Number","18"
"New House Registrations","2008Q3","Wexford","Number","78"
"New House Registrations","2008Q3","Wicklow","Number","23"
"New House Registrations","2008Q3","Clare","Number","20"
"New House Registrations","2008Q3","Cork","Number","418"
"New House Registrations","2008Q3","Kerry","Number","31"
"New House Registrations","2008Q3","Limerick","Number","31"
"New House Registrations","2008Q3","Tipperary","Number","121"
"New House Registrations","2008Q3","Waterford","Number","35"
"New House Registrations","2008Q3","Galway","Number","82"
"New House Registrations","2008Q3","Leitrim","Number","22"
"New House Registrations","2008Q3","Mayo","Number","44"
"New House Registrations","2008Q3","Roscommon","Number","19"
"New House Registrations","2008Q3","Sligo","Number","23"
"New House Registrations","2008Q3","Cavan","Number","14"
"New House Registrations","2008Q3","Donegal","Number","35"
"New House Registrations","2008Q3","Monaghan","Number","38"
"New House Registrations","2008Q4","All Counties","Number","1617"
"New House Registrations","2008Q4","Carlow","Number","6"
"New House Registrations","2008Q4","Dublin","Number","571"
"New House Registrations","2008Q4","Kildare","Number","23"
"New House Registrations","2008Q4","Kilkenny","Number","11"
"New House Registrations","2008Q4","Laois","Number","10"
"New House Registrations","2008Q4","Longford","Number","2"
"New House Registrations","2008Q4","Louth","Number","64"
"New House Registrations","2008Q4","Meath","Number","101"
"New House Registrations","2008Q4","Offaly","Number","13"
"New House Registrations","2008Q4","Westmeath","Number","19"
"New House Registrations","2008Q4","Wexford","Number","66"
"New House Registrations","2008Q4","Wicklow","Number","60"
"New House Registrations","2008Q4","Clare","Number","18"
"New House Registrations","2008Q4","Cork","Number","220"
"New House Registrations","2008Q4","Kerry","Number","42"
"New House Registrations","2008Q4","Limerick","Number","13"
"New House Registrations","2008Q4","Tipperary","Number","65"
"New House Registrations","2008Q4","Waterford","Number","59"
"New House Registrations","2008Q4","Galway","Number","87"
"New House Registrations","2008Q4","Leitrim","Number","18"
"New House Registrations","2008Q4","Mayo","Number","31"
"New House Registrations","2008Q4","Roscommon","Number","3"
"New House Registrations","2008Q4","Sligo","Number","5"
"New House Registrations","2008Q4","Cavan","Number","17"
"New House Registrations","2008Q4","Donegal","Number","12"
"New House Registrations","2008Q4","Monaghan","Number","81"
"New House Registrations","2009Q1","All Counties","Number","1166"
"New House Registrations","2009Q1","Carlow","Number","41"
"New House Registrations","2009Q1","Dublin","Number","421"
"New House Registrations","2009Q1","Kildare","Number","44"
"New House Registrations","2009Q1","Kilkenny","Number","12"
"New House Registrations","2009Q1","Laois","Number","25"
"New House Registrations","2009Q1","Longford","Number","2"
"New House Registrations","2009Q1","Louth","Number","66"
"New House Registrations","2009Q1","Meath","Number","21"
"New House Registrations","2009Q1","Offaly","Number","3"
"New House Registrations","2009Q1","Westmeath","Number","5"
"New House Registrations","2009Q1","Wexford","Number","73"
"New House Registrations","2009Q1","Wicklow","Number","28"
"New House Registrations","2009Q1","Clare","Number","21"
"New House Registrations","2009Q1","Cork","Number","114"
"New House Registrations","2009Q1","Kerry","Number","20"
"New House Registrations","2009Q1","Limerick","Number","34"
"New House Registrations","2009Q1","Tipperary","Number","50"
"New House Registrations","2009Q1","Waterford","Number","17"
"New House Registrations","2009Q1","Galway","Number","63"
"New House Registrations","2009Q1","Leitrim","Number","2"
"New House Registrations","2009Q1","Mayo","Number","3"
"New House Registrations","2009Q1","Roscommon","Number","37"
"New House Registrations","2009Q1","Sligo","Number","39"
"New House Registrations","2009Q1","Cavan","Number","13"
"New House Registrations","2009Q1","Donegal","Number","6"
"New House Registrations","2009Q1","Monaghan","Number","6"
"New House Registrations","2009Q2","All Counties","Number","951"
"New House Registrations","2009Q2","Carlow","Number","9"
"New House Registrations","2009Q2","Dublin","Number","345"
"New House Registrations","2009Q2","Kildare","Number","67"
"New House Registrations","2009Q2","Kilkenny","Number","31"
"New House Registrations","2009Q2","Laois","Number","0"
"New House Registrations","2009Q2","Longford","Number","8"
"New House Registrations","2009Q2","Louth","Number","17"
"New House Registrations","2009Q2","Meath","Number","96"
"New House Registrations","2009Q2","Offaly","Number","19"
"New House Registrations","2009Q2","Westmeath","Number","7"
"New House Registrations","2009Q2","Wexford","Number","16"
"New House Registrations","2009Q2","Wicklow","Number","80"
"New House Registrations","2009Q2","Clare","Number","6"
"New House Registrations","2009Q2","Cork","Number","96"
